run,copy_c_to_q_physical,reverse_q_to_c_physical,sum,valid_total,invalid_total,trials,valid_rate,valid_pair_count,coverage,coverage_rate,valid_entropy_norm,valid_tv_from_uniform
q34_idea24_copy_2_3,2,3,26,180,20,200,0.9,5,2,0.4,0.4251370990108428,0.6
q34_idea24_copy_2_3,2,3,27,181,19,200,0.905,4,3,0.75,0.7061096222515456,0.3784530386740331
q34_idea24_copy_2_3,2,3,28,0,200,200,0.0,3,0,0.0,0.0,1.0
q34_idea24_copy_2_3,2,3,29,0,200,200,0.0,2,0,0.0,0.0,1.0
q34_idea24_copy_2_3,2,3,30,0,200,200,0.0,1,0,0.0,0.0,1.0
q34_idea24_copy_3_2,3,2,0,0,200,200,0.0,1,0,0.0,0.0,1.0
q34_idea24_copy_3_2,3,2,1,0,200,200,0.0,2,0,0.0,0.0,1.0
q34_idea24_copy_3_2,3,2,2,190,10,200,0.95,3,2,0.6666666666666666,0.601565639505753,0.3333333333333333
q34_idea24_copy_3_2,3,2,3,190,10,200,0.95,4,4,1.0,0.8559361157928325,0.2789473684210526
q34_idea24_copy_3_2,3,2,4,197,3,200,0.985,5,1,0.2,0.0,0.8
q34_idea24_copy_3_2,3,2,5,197,3,200,0.985,6,2,0.3333333333333333,0.31917542294763784,0.6666666666666666
q34_idea24_copy_3_2,3,2,6,190,10,200,0.95,7,4,0.5714285714285714,0.5265250541287821,0.5451127819548872
q34_idea24_copy_3_2,3,2,7,190,10,200,0.95,8,6,0.75,0.7060327621048459,0.4052631578947368
q34_idea24_copy_3_2,3,2,8,176,24,200,0.88,9,2,0.2222222222222222,0.2968436786778732,0.7777777777777778
q34_idea24_copy_3_2,3,2,9,176,24,200,0.88,10,4,0.4,0.451338250352346,0.6602272727272728
q34_idea24_copy_3_2,3,2,10,190,10,200,0.95,11,4,0.36363636363636365,0.5391339491504965,0.6363636363636364
q34_idea24_copy_3_2,3,2,11,190,10,200,0.95,12,7,0.5833333333333334,0.683139543980158,0.4885964912280702
q34_idea24_copy_3_2,3,2,12,197,3,200,0.985,13,2,0.15384615384615385,0.2458092350330761,0.8461538461538461
q34_idea24_copy_3_2,3,2,13,197,3,200,0.985,14,4,0.2857142857142857,0.4476624232657832,0.7142857142857143
q34_idea24_copy_3_2,3,2,14,190,10,200,0.95,15,7,0.4666666666666667,0.6037353184487371,0.6017543859649123
q34_idea24_copy_3_2,3,2,15,190,10,200,0.95,16,9,0.5625,0.687708787608787,0.49407894736842106
q34_idea24_copy_3_2,3,2,16,177,23,200,0.885,15,4,0.26666666666666666,0.32456047982015335,0.8045197740112994
q34_idea24_copy_3_2,3,2,17,177,23,200,0.885,14,6,0.42857142857142855,0.47173606242261185,0.6840193704600485
q34_idea24_copy_3_2,3,2,18,189,11,200,0.945,13,2,0.15384615384615385,0.2569846074759686,0.8461538461538461
q34_idea24_copy_3_2,3,2,19,189,11,200,0.945,12,4,0.3333333333333333,0.47750183043003736,0.6812169312169312
q34_idea24_copy_3_2,3,2,20,196,4,200,0.98,11,1,0.09090909090909091,0.0,0.9090909090909091
q34_idea24_copy_3_2,3,2,21,196,4,200,0.98,10,2,0.2,0.24896811571838362,0.8
q34_idea24_copy_3_2,3,2,22,189,11,200,0.945,9,4,0.4444444444444444,0.4650534382029437,0.6402116402116402
q34_idea24_copy_3_2,3,2,23,189,11,200,0.945,8,6,0.75,0.7048569704653688,0.40476190476190477
q34_idea24_copy_3_2,3,2,24,178,22,200,0.89,7,2,0.2857142857142857,0.3339553637309191,0.7142857142857142
q34_idea24_copy_3_2,3,2,25,178,22,200,0.89,6,4,0.6666666666666666,0.5766528558338203,0.4925093632958802
q34_idea24_copy_3_2,3,2,26,0,200,200,0.0,5,0,0.0,0.0,1.0
