run,pattern,sum,valid_total,invalid_total,trials,valid_rate,parallel,reverse,block_rnd,copy_rnd,scramble_rnd,blocks,copy_cycles,settle_cycles,valid_pair_count,coverage,coverage_rate,valid_entropy_norm,valid_tv_from_uniform
sum_idea234_q34_4,idea 2+3+4 Q3.4 shadow/window,11,998,2,1000,0.998,false,false,4,0,8,"10,8,16,6",2,160,12,3,0.25,0.4134696630546729,0.75
sum_idea234_q34_4,idea 2+3+4 Q3.4 shadow/window,12,998,2,1000,0.998,false,false,4,0,8,"10,8,16,6",2,160,13,3,0.23076923076923078,0.4005667839878853,0.7692307692307693
sum_idea234_q34_4,idea 2+3+4 Q3.4 shadow/window,13,998,2,1000,0.998,false,false,4,0,8,"10,8,16,6",2,160,14,3,0.21428571428571427,0.3893183765583249,0.7857142857142857
sum_idea234_q34_4,idea 2+3+4 Q3.4 shadow/window,14,998,2,1000,0.998,false,false,4,0,8,"10,8,16,6",2,160,15,4,0.26666666666666666,0.4370941933832908,0.7438877755511022
sum_idea234_q34_4,idea 2+3+4 Q3.4 shadow/window,15,998,2,1000,0.998,false,false,4,0,8,"10,8,16,6",2,160,16,4,0.25,0.42691979838106753,0.7563877755511021
sum_idea234_q34_4,idea 2+3+4 Q3.4 shadow/window,16,999,1,1000,0.999,false,false,4,0,8,"10,8,16,6",2,160,15,4,0.26666666666666666,0.4273339994575219,0.736936936936937
sum_idea234_q34_4,idea 2+3+4 Q3.4 shadow/window,17,999,1,1000,0.999,false,false,4,0,8,"10,8,16,6",2,160,14,4,0.2857142857142857,0.4385057915121023,0.7226512226512226
sum_idea234_q34_4,idea 2+3+4 Q3.4 shadow/window,18,997,3,1000,0.997,false,false,4,0,8,"10,8,16,6",2,160,13,3,0.23076923076923078,0.3359710306484402,0.7692307692307693
sum_idea234_q34_4,idea 2+3+4 Q3.4 shadow/window,19,997,3,1000,0.997,false,false,4,0,8,"10,8,16,6",2,160,12,3,0.25,0.34679318004196535,0.75
sum_idea234_q34_4,idea 2+3+4 Q3.4 shadow/window,20,997,3,1000,0.997,false,false,4,0,8,"10,8,16,6",2,160,11,3,0.2727272727272727,0.35937711248820997,0.7272727272727273
sum_idea234_q34_4,idea 2+3+4 Q3.4 shadow/window,21,997,3,1000,0.997,false,false,4,0,8,"10,8,16,6",2,160,10,3,0.3,0.3742526961585064,0.7000000000000001
sum_idea234_q34_4,idea 2+3+4 Q3.4 shadow/window,22,998,2,1000,0.998,false,false,4,0,8,"10,8,16,6",2,160,9,2,0.2222222222222222,0.23831980658216328,0.7777777777777777
sum_idea234_q34_4,idea 2+3+4 Q3.4 shadow/window,23,998,2,1000,0.998,false,false,4,0,8,"10,8,16,6",2,160,8,2,0.25,0.2518186377412319,0.75
sum_idea234_q34_4,idea 2+3+4 Q3.4 shadow/window,24,999,1,1000,0.999,false,false,4,0,8,"10,8,16,6",2,160,7,2,0.2857142857142857,0.3546791689281988,0.7142857142857142
sum_idea234_q34_4,idea 2+3+4 Q3.4 shadow/window,25,999,1,1000,0.999,false,false,4,0,8,"10,8,16,6",2,160,6,2,0.3333333333333333,0.38519332886418844,0.6666666666666666
sum_idea234_q34_4,idea 2+3+4 Q3.4 shadow/window,26,331,669,1000,0.331,false,false,4,0,8,"10,8,16,6",2,160,5,1,0.2,0.0,0.8
sum_idea234_q34_4,idea 2+3+4 Q3.4 shadow/window,27,331,669,1000,0.331,false,false,4,0,8,"10,8,16,6",2,160,4,1,0.25,0.0,0.75
sum_idea234_q34_4,idea 2+3+4 Q3.4 shadow/window,28,331,669,1000,0.331,false,false,4,0,8,"10,8,16,6",2,160,3,1,0.3333333333333333,0.0,0.6666666666666667
sum_idea234_q34_4,idea 2+3+4 Q3.4 shadow/window,29,331,669,1000,0.331,false,false,4,0,8,"10,8,16,6",2,160,2,1,0.5,0.0,0.5
sum_idea234_q34_4,idea 2+3+4 Q3.4 shadow/window,30,0,1000,1000,0.0,false,false,4,0,8,"10,8,16,6",2,160,1,0,0.0,0.0,1.0
sum_idea24_q34_parallel4,idea 2+4 Q3.4 parallel shadow,0,0,1000,1000,0.0,true,false,4,0,8,"10,8,16,6",2,160,1,0,0.0,0.0,1.0
sum_idea24_q34_parallel4,idea 2+4 Q3.4 parallel shadow,1,471,529,1000,0.471,true,false,4,0,8,"10,8,16,6",2,160,2,2,1.0,0.8670976084224089,0.21125265392781314
sum_idea24_q34_parallel4,idea 2+4 Q3.4 parallel shadow,2,699,301,1000,0.699,true,false,4,0,8,"10,8,16,6",2,160,3,3,1.0,0.9881592323368945,0.0743919885550787
sum_idea24_q34_parallel4,idea 2+4 Q3.4 parallel shadow,3,900,100,1000,0.9,true,false,4,0,8,"10,8,16,6",2,160,4,4,1.0,0.7564923849598562,0.33222222222222225
sum_idea24_q34_parallel4,idea 2+4 Q3.4 parallel shadow,4,897,103,1000,0.897,true,false,4,0,8,"10,8,16,6",2,160,5,3,0.6,0.5981871897797861,0.48740245261984394
sum_idea24_q34_parallel4,idea 2+4 Q3.4 parallel shadow,5,994,6,1000,0.994,true,false,4,0,8,"10,8,16,6",2,160,6,6,1.0,0.8118613624302535,0.3470824949698189
